ID,Resumen,Requisito,Módulo,Prioridad,Tipo,Técnica de diseño,Precondiciones,Pasos,Resultado esperado,Automatizado,Script / Referencia
LOGIN-01,Login exitoso con usuario estándar,REQ-01,Autenticación,Alta,Funcional positivo,Partición de equivalencia,Estar en la página de login (sin sesión),"1. Ingresar usuario standard_user
2. Ingresar contraseña secret_sauce
3. Clic en Login",Se muestra el catálogo 'Products' con 6 productos,Sí,login.spec.ts
LOGIN-02,Logout y bloqueo de acceso directo sin sesión,REQ-02,Autenticación,Alta,Funcional / Seguridad básica,Transición de estados,Sesión iniciada como standard_user,"1. Abrir el menú lateral
2. Clic en Logout
3. Navegar directo a /inventory.html","Vuelve al login; al acceder directo se muestra ""You can only access '/inventory.html' when you are logged in.""",Sí,login.spec.ts
LOGIN-03,Login rechazado: usuario bloqueado,REQ-01,Autenticación,Alta,Funcional negativo,Tabla de decisión,Estar en la página de login (sin sesión),"1. Ingresar locked_out_user / secret_sauce
2. Clic en Login","Mensaje 'Epic sadface: Sorry, this user has been locked out.'",Sí,login.spec.ts
LOGIN-04,Login rechazado: contraseña incorrecta,REQ-01,Autenticación,Media,Funcional negativo,Tabla de decisión,Estar en la página de login (sin sesión),"1. Ingresar standard_user / clave_incorrecta
2. Clic en Login",Mensaje 'Username and password do not match any user in this service',Sí,login.spec.ts
LOGIN-05,Login rechazado: usuario vacío,REQ-01,Autenticación,Media,Funcional negativo,Partición de equivalencia,Estar en la página de login (sin sesión),"1. Dejar usuario vacío
2. Ingresar contraseña
3. Clic en Login",Mensaje 'Epic sadface: Username is required',Sí,login.spec.ts
LOGIN-06,Login rechazado: contraseña vacía,REQ-01,Autenticación,Media,Funcional negativo,Tabla de decisión,Estar en la página de login (sin sesión),"1. Ingresar standard_user
2. Dejar contraseña vacía
3. Clic en Login",Mensaje 'Epic sadface: Password is required',Sí,login.spec.ts
LOGIN-07,Login rechazado: usuario inexistente,REQ-01,Autenticación,Baja,Funcional negativo,Partición de equivalencia,Estar en la página de login (sin sesión),"1. Ingresar usuario_que_no_existe / secret_sauce
2. Clic en Login",Mensaje 'Username and password do not match any user in this service',Sí,login.spec.ts
INV-01,"El catálogo muestra 6 productos con nombre, precio e imagen",REQ-03,Catálogo,Alta,Funcional positivo,Basada en requisitos,Sesión iniciada como standard_user,"1. Abrir /inventory.html
2. Revisar cada tarjeta de producto","6 productos, cada uno con nombre, precio > 0 e imagen",Sí,sorting.spec.ts
INV-02,Ordenar por nombre A→Z,REQ-04,Catálogo,Media,Funcional positivo,Basada en requisitos,Sesión iniciada como standard_user,1. Elegir 'Name (A to Z)',Nombres en orden alfabético ascendente,Sí,sorting.spec.ts
INV-03,Ordenar por nombre Z→A,REQ-04,Catálogo,Media,Funcional positivo,Basada en requisitos,Sesión iniciada como standard_user,1. Elegir 'Name (Z to A)',Nombres en orden alfabético descendente,Sí,sorting.spec.ts
